ID_meta_hmfSampleId;aneuploidy_score
HMF002295A;12
HMF002301A;23
HMF002302A;22
HMF002309A;25
HMF002319A;27
HMF002332A;24
HMF002357A;20
HMF002361B;21
HMF002369A;23
HMF002372A;10
HMF002395A;23
HMF002409A;24
HMF002422A;9
HMF002429A;18
HMF002441B;22
HMF002450A;30
HMF002451A;16
HMF002460A;23
HMF002467A;13
HMF002480A;8
HMF002492A;24
HMF002502A;22
HMF002515A;17
HMF002532A;26
HMF002538A;25
HMF002549A;10
HMF002551A;4
HMF002555A;26
HMF002606A;19
HMF002612A;25
HMF002616A;10
HMF002619A;26
HMF002620A;24
HMF002627A;8
HMF002628A;1
HMF002656A;9
HMF002660A;22
HMF002679A;23
HMF002682A;24
HMF002688A;16
HMF002694A;12
HMF002696A;24
HMF002703A;17
HMF002719A;27
HMF002724B;13
HMF002739A;20
HMF002741A;23
HMF002748A;15
HMF002750A;24
HMF002769A;27
HMF002776A;26
HMF002777A;18
HMF002782B;21
HMF002787A;17
HMF002795A;13
HMF002800A;26
HMF002804A;20
HMF002810B;29
HMF002811A;20
HMF002834A;27
HMF002847A;23
HMF002848A;16
HMF002861A;4
HMF002864B;10
HMF002865A;25
HMF002869A;24
HMF002884A;17
HMF002897A;27
HMF002907A;19
HMF002933A;25
HMF002942A;19
HMF002949A;26
HMF002957A;19
HMF002967A;23
HMF002976A;23
HMF002990A;19
HMF002994A;24
HMF002998A;20
HMF003014A;12
HMF003029A;15
HMF003030A;24
HMF003048A;29
HMF003051A;27
HMF003057A;13
HMF003058A;27
HMF003061A;26
HMF003067A;21
HMF003086A;8
HMF003100A;25
HMF003125A;26
HMF003133A;23
HMF003137A;27
HMF003139A;21
HMF003140A;22
HMF003146A;21
HMF003151A;24
HMF003169A;8
HMF003177A;2
HMF003187A;24
HMF003188A;22
HMF003195A;20
HMF003197A;6
HMF003204A;9
HMF003208A;18
HMF003215A;28
HMF003218A;20
HMF003221A;24
HMF003234A;23
HMF003235A;22
HMF003262A;22
HMF003263A;27
HMF003265A;8
HMF003267A;25
HMF003277A;23
HMF003285A;21
HMF003289A;28
HMF003298A;22
HMF003305A;24
HMF003322A;28
HMF003323A;2
HMF003324A;17
HMF003344A;21
HMF003345A;3
HMF003349A;25
HMF003352A;13
HMF003360A;23
HMF003361A;2
HMF003365A;26
HMF003369A;22
HMF003371A;22
HMF003378A;9
HMF003383A;24
HMF003387A;2
HMF003388A;10
HMF003394A;12
HMF003404A;18
HMF003418A;25
HMF003437A;25
HMF003444A;23
HMF003445A;23
HMF003461A;12
HMF003468A;7
HMF003470A;22
HMF003472A;26
HMF003483A;26
HMF003489A;18
HMF003492A;25
HMF003515A;13
HMF003522A;25
HMF003533A;21
HMF003539A;22
HMF003543A;18
HMF003558A;11
HMF003564A;22
HMF003565A;8
HMF003576A;10
HMF003606A;20
HMF003610A;17
HMF003619A;25
HMF003627A;24
HMF003634A;22
HMF003653B;12
HMF003654A;1
HMF003661A;13
HMF003669A;4
HMF003675A;26
HMF003682A;22
HMF003690A;14
HMF003696A;20
HMF003713A;22
HMF003717A;24
HMF003725A;22
HMF003727A;24
HMF003729A;26
HMF003757A;26
HMF003759A;20
HMF003777A;12
HMF003779A;10
HMF003782A;27
HMF003786A;21
HMF003805A;9
HMF003819A;22
HMF003832A;19
HMF003836A;21
HMF003873A;24
HMF003879A;25
HMF003895A;18
HMF003904A;24
HMF003906A;25
HMF003962A;2
HMF003965A;24
HMF004000A;2
HMF004009A;14
HMF004018A;4
HMF004031A;0
HMF004034A;16
HMF004043A;19
HMF004064A;28
HMF004065A;20
HMF004076A;7
HMF004097A;2
HMF004120A;25
HMF004126A;23
HMF004138A;24
HMF004141A;21
HMF004142A;0
HMF004147A;7
HMF004154A;22
HMF004156A;22
HMF004185A;24
HMF004194A;7
HMF004197A;23
HMF004206A;22
HMF004209A;30
HMF004212A;10
HMF004236A;13
HMF004246A;27
HMF004264A;23
HMF004278A;17
HMF004283A;18
HMF004296A;19
HMF004303A;8
HMF004334A;22
HMF004346A;15
HMF004360A;24
HMF004376A;13
HMF004394A;15
HMF004409A;13
HMF004413A;23
HMF004414A;14
HMF004437A;20
HMF004440A;9
HMF004442A;27
HMF004451A;23
HMF004456A;24
HMF004460A;19
HMF004466A;4
HMF004468A;24
HMF004473A;18
HMF004482A;15
HMF004487B;12
HMF004490A;18
HMF004494A;24
HMF004502A;18
HMF004503A;5
HMF004508A;25
HMF004511A;12
HMF004518A;9
HMF004527A;19
HMF004528A;15
HMF004535A;26
HMF004542A;27
HMF004549A;20
HMF004551A;23
HMF004553A;8
HMF004554A;20
HMF004560A;14
HMF004566A;26
HMF004567A;21
HMF004572A;18
HMF004575A;26
HMF004576A;16
HMF004580A;13
HMF004596A;7
HMF004609A;24
HMF004616A;2
HMF004617A;7
HMF004629A;24
HMF004630A;19
HMF004634A;29
HMF004635A;29
HMF004640A;20
HMF004641A;26
HMF004642A;15
HMF004643A;8
HMF004652A;24
HMF004654A;23
HMF004658A;25
HMF004660A;8
HMF004673A;24
HMF004678A;4
HMF004684A;27
HMF004693A;19
HMF004697A;10
HMF004701A;12
HMF004703A;7
HMF004712A;11
HMF004726A;7
HMF004736A;27
HMF004737A;22
HMF004750A;2
HMF004763A;14
HMF004765A;17
HMF004766A;10
HMF004770A;7
HMF004774A;14
HMF004781A;19
HMF004789A;23
HMF004796A;14
HMF004813A;24
HMF004850A;10
HMF004868A;25
HMF004873A;8
HMF004876A;12
HMF004886A;27
HMF004915A;25
HMF004918A;23
HMF004919A;8
HMF004927A;1
HMF004929A;24
HMF004932A;9
HMF004933A;0
HMF004937A;25
HMF004939A;22
HMF004942A;12
HMF004944A;27
HMF004960A;25
HMF004962A;24
HMF004995A;23
HMF004997A;1
HMF004998A;17
HMF005008A;11
HMF005032A;3
HMF005036A;21
HMF005039A;28
HMF005040A;13
HMF005041A;26
HMF005044A;28
HMF005048A;23
HMF005052A;17
HMF005072A;25
HMF005081A;30
HMF005094A;22
HMF005096A;2
HMF005099A;26
HMF005100A;7
HMF005101A;21
HMF005102A;4
HMF005115A;24
HMF005118A;24
HMF005121A;26
HMF005125A;15
HMF005150A;23
HMF005153A;22
HMF000215A;5
HMF000432A;12
HMF000483A;23
HMF000772A;8
HMF000920A;4
HMF001018A;14
HMF001088A;5
HMF001227A;4
HMF001417A;11
HMF001475A;8
HMF001545A;12
HMF002745A;21
HMF002851A;7
HMF003158A;23
HMF003288A;8
HMF003651A;24
HMF003656A;3
HMF004267A;8
HMF004393A;2
HMF004552A;19
HMF000038A;28
